lot_number,product_id,produced_qty,production_date,expiry_date
B5026,BTBC004,233,2025-04-07,2028-04-07
B5050,BTBC004,1120,2025-04-07,2028-04-07
B5051,BTBC004,1120,2025-04-07,2028-04-07
B5077,BTBC004,1006,2025-05-07,2028-05-07
B5078,BTBC004,1006,2025-05-07,2028-05-07
B5114,BTBC004,1216,2025-06-20,2028-06-20
B5115,BTBC004,701,2025-06-20,2028-06-20
B5202,BTBC004,1000,2025-08-29,2028-08-29
B5203,BTBC004,661,2025-08-29,2028-08-29
B5203,BTBC004,305,2025-09-03,2028-09-03
B5249,BTBC004,1020,2025-10-13,2028-10-13
B5253,BTBC004,100,2025-10-13,2028-10-13
B5253,BTBC004,533,2025-10-14,2028-10-14
B5283,BTBC004,1073,2025-11-11,2028-11-11
B5284,BTBC004,1072,2025-11-11,2028-11-11
B5058,BTBC005,756,2025-04-08,2028-04-08
B5079,BTBC005,990,2025-05-07,2028-05-07
B5080,BTBC005,970,2025-05-08,2028-05-08
B5103,BTBC005,630,2025-06-09,2028-06-09
B5171,BTBC005,966,2025-08-26,2028-08-26
B5223,BTBC005,630,2025-09-19,2028-09-19
B5223,BTBC005,376,2025-09-23,2028-09-23
B5224,BTBC005,1006,2025-09-23,2028-09-23
B5257,BTBC005,995,2025-10-27,2028-10-27
B5258,BTBC005,995,2025-10-27,2028-10-27
B5273,BTBC005,995,2025-10-27,2028-10-27
B5056,BTBC006,978,2025-04-09,2028-04-09
B5029,BTBC006,765,2025-03-26,2028-03-26
B5081,BTBC006,994,2025-05-08,2028-05-08
B5057,BTBC006,979,2025-04-09,2028-04-09
B5082,BTBC006,994,2025-05-08,2028-05-08
B5106,BTBC006,1188,2025-06-12,2028-06-12
B5105,BTBC006,756,2025-06-11,2028-06-11
B5269,BTBC006,990,2025-08-25,2028-08-25
B5270,BTBC006,270,2025-08-25,2028-08-25
B5210,BTBC006,345,2025-09-05,2028-09-05
B5270,BTBC006,678,2025-08-26,2028-08-26
B5209,BTBC006,488,2025-09-16,2028-09-16
B5209,BTBC006,155,2025-09-17,2028-09-17
B5221,BTBC006,911,2025-09-23,2028-09-23
B5222,BTBC006,911,2025-09-23,2028-09-23
B5288,BTBC006,935,2025-11-18,2028-11-18
B5047,BTBC007,1090,2025-03-27,2028-03-27
B5055,BTBC007,1000,2025-04-07,2028-04-07
B5048,BTBC007,630,2025-04-04,2028-04-04
B5048,BTBC007,322,2025-04-07,2028-04-07
B5091,BTBC007,1012,2025-05-21,2028-05-21
B5092,BTBC007,1012,2025-05-21,2028-05-21
B5124,BTBC007,2022,2025-07-04,2028-07-04
B5208,BTBC007,1010,2025-09-04,2028-09-04
B5209,BTBC007,320,2025-09-04,2028-09-04
B5209,BTBC007,143,2025-09-05,2028-09-05
B5208,BTBC007,112,2025-09-15,2028-09-15
B5209,BTBC007,489,2025-09-16,2028-09-16
B5226,BTBC007,448,2025-09-29,2028-09-29
B5259,BTBC007,125,2025-10-27,2028-10-27
B5259,BTBC007,630,2025-10-24,2028-10-24
B5285,BTBC007,1012,2025-11-11,2028-11-11
B5286,BTBC007,878,2025-11-11,2028-11-11
B5286,BTBC007,134,2025-11-12,2028-11-12
B5259,BTBC007,214,2025-11-12,2028-11-12
B5111,BTBC008,1656,2025-06-16,2028-06-16
B5289,BTBC008,348,2025-11-19,2028-11-19
B5100,BTBC009,1000,2025-05-30,2028-05-30
B5101,BTBC009,940,2025-05-30,2028-05-30
B5228,BTBC009,1014,2025-09-30,2028-09-30
B5290,BTBC009,985,2025-11-19,2028-11-19
B5098,BTBC010,962,2025-06-09,2028-06-09
B5099,BTBC010,963,2025-06-09,2028-06-09
B5173,BTBC010,990,2025-08-28,2028-08-28
B5174,BTBC010,991,2025-08-28,2028-08-28
B5229,BTBC010,993,2025-09-30,2028-09-30
B5230,BTBC010,993,2025-09-30,2028-09-30
B5053,BTBO001,1121,2025-03-28,2028-03-28
B5066,BTBO001,2267,2025-04-21,2028-04-21
B5123,BTBO001,1190,2025-06-26,2028-06-26
B5147,BTBO001,1742,2025-07-22,2028-07-22
B5147,BTBO001,600,2025-08-06,2028-08-06
B5306,BTBO001,1196,2025-12-16,2028-12-16
B5049,BTBO002,991,2025-03-28,2028-03-28
B5110,BTBO002,2390,2025-06-10,2028-06-10
B5245,BTBO002,2211,2025-10-01,2028-10-01
B5024,BTBO003,995,2025-03-28,2028-03-28
B5109,BTBO003,440,2025-06-10,2028-06-10
B5109,BTBO003,1359,2025-06-11,2028-06-11
J22BE1,BTBS004,36,2025-12-11,2028-12-11
I15BE1,BTBS005,36,2025-12-11,2028-12-11
S5071,BTDM002,1351,2025-04-10,2028-04-10
S5071,BTDM002,1350,2025-04-10,2028-04-10
G24BE1,BTSB001,100,2025-10-13,2028-10-13
F24BE1,BTSB002,100,2025-10-13,2028-10-13
G24BE1,BTSB003,100,2025-10-13,2028-10-13
D28BE1,BTSB004,120,2025-10-13,2028-10-13
I15BE1,BTSB005,40,2025-10-13,2028-10-13
E15BE1,BTSB005,40,2025-10-13,2028-10-13
H4128,CCAB001,432,2025-04-04,2028-04-04
H4128,CCAB001,54,2025-05-14,2028-05-14
H5034,CCAB001,1884,2025-05-28,2028-05-28
H5054,CCAB001,327,2025-08-20,2028-08-20
H5054,CCAB001,327,2025-08-20,2028-08-20
H5054,CCAB001,1604,2025-10-30,2028-10-30
H5015,CCAB001,0,2025-12-08,2028-12-08
H5015,CCAB001,4882,2025-12-08,2028-12-08
H4098,CCAO001,77,2025-05-14,2028-05-14
H5065,CCAO001,2162,2025-09-11,2028-09-11
H5033,CCATR01,2011,2025-05-19,2028-05-19
H5035,CCATR01,380,2025-05-30,2028-05-30
H5045,CCATR01,1920,2025-07-14,2028-07-14
H5064,CCATR01,2058,2025-09-11,2028-09-11
H5064,CCATR01,300,2025-10-14,2028-10-14
H5064,CCATR01,60,2025-10-22,2028-10-22
H5026,CCCC001,2003,2025-05-09,2028-05-09
H5076,CCCC001,457,2025-10-27,2028-10-27
C5123,CCCRM01,1900,2025-05-28,2028-05-28
C5123,CCCRM01,1600,2025-05-27,2028-05-27
C5123,CCCRM01,4018,2025-05-28,2028-05-28
C5123,CCCRM01,996,2025-05-29,2028-05-29
C5123,CCCRM01,400,2025-07-15,2028-07-15
C5187,CCCRM01,6600,2025-08-21,2028-08-21
C5187,CCCRM01,3628,2025-08-22,2028-08-22
C5241,CCCRM01,500,2025-11-17,2028-11-17
C5241,CCCRM01,4000,2025-11-18,2028-11-18
C5241,CCCRM01,3200,2025-11-19,2028-11-19
C5241,CCCRM01,3200,2025-11-19,2028-11-19
H5038,CCHP001,720,2025-06-11,2028-06-11
H5038,CCHP001,1249,2025-06-12,2028-06-12
H5040,CCHP001,1344,2025-06-30,2028-06-30
H5040,CCHP001,2032,2025-07-01,2028-07-01
H5038,CCHP001,48,2025-10-27,2028-10-27
H5050,CCHPB01,1664,2025-07-29,2028-07-29
H5057,CCHPB01,576,2025-08-29,2028-08-29
H5056,CCHPB01,363,2025-09-01,2028-09-01
H5057,CCHPB01,940,2025-09-01,2028-09-01
H5015,CCHPB01,80,2025-10-02,2028-10-02
H5072,CCHPB01,80,2025-10-16,2028-10-16
H5072,CCHPB01,1071,2025-10-16,2028-10-16
H5094,CCHPB01,664,2025-11-24,2028-11-24
H5094,CCHPB01,993,2025-11-25,2028-11-25
H5040,CCHPM01,3150,2025-06-27,2028-06-27
H5055,CCRS001,1045,2025-08-20,2028-08-20
H5055,CCRS001,60,2025-10-22,2028-10-22
H2721J,CCRT001,384,2025-04-08,2028-04-08
H2721J,CCRT001,64,2025-07-08,2028-07-08
H2721,CCRT001,64,2025-08-06,2028-08-06
H4038,CCSP001,140,2025-04-07,2028-04-07
H5025,CCSP004,40,2025-06-02,2028-06-02
H5041,CCSP004,1687,2025-06-27,2028-06-27
H5025,CCSP004,40,2025-08-06,2028-08-06
S5041,CCSPM04,3150,2025-06-26,2028-06-26
H4069,CCVF000,300,2025-04-04,2028-04-04
H4069,CCVF000,60,2025-05-14,2028-05-14
H4069,CCVF000,180,2025-11-06,2028-11-06
C5101,CHHC002,1046,2025-04-28,2028-04-28
C5116,CHHC003,1900,2025-04-28,2028-04-28
S5160,DBMT001,96,2025-08-27,2028-08-27
S5160,DBMT001,3000,2025-09-02,2028-09-02
E5018,FJAP001,1122,2025-04-28,2028-04-28
E5024,FJAP001,1643,2025-06-16,2028-06-16
E5031,FJAP001,1636,2025-08-11,2028-08-11
E5031,FJAP001,416,2025-08-27,2028-08-27
E5031,FJAP001,104,2025-10-23,2028-10-23
E5039,FJAP001,1076,2025-10-24,2028-10-24
E5039,FJAP001,832,2025-11-12,2028-11-12
E5049,FJAP001,936,2025-12-11,2028-12-11
E5005,FJAP003,96,2025-06-04,2028-06-04
E5005,FJAP003,96,2025-06-05,2028-06-05
E5005,FJAP003,384,2025-07-01,2028-07-01
E5029,FJAP003,1548,2025-07-11,2028-07-11
E5005,FJAP003,96,2025-10-22,2028-10-22
E5005,FJAP004,539,2025-04-07,2028-04-07
E5021,FJAP004,1440,2025-05-22,2028-05-22
E5021,FJAP004,364,2025-05-23,2028-05-23
E5022,FJAP004,1752,2025-06-02,2028-06-02
E5021,FJAP004,192,2025-07-01,2028-07-01
E5026,FJAP005,864,2025-06-23,2028-06-23
E5026,FJAP005,96,2025-07-08,2028-07-08
C5092,FJBB001,1728,2025-04-16,2028-04-16
C5092,FJBB001,4032,2025-04-17,2028-04-17
C5131,FJBB001,1632,2025-05-21,2028-05-21
C5131,FJBB001,2129,2025-05-22,2028-05-22
C5131,FJBB001,192,2025-06-25,2028-06-25
C5131,FJBB001,480,2025-06-26,2028-06-26
C5131,FJBB001,1050,2025-07-15,2028-07-15
C5177,FJBB001,7978,2025-07-25,2028-07-25
C5180,FJBB001,3971,2025-08-12,2028-08-12
C5180,FJBB001,4229,2025-08-13,2028-08-13
C5181,FJBB001,5867,2025-08-13,2028-08-13
C5181,FJBB001,2333,2025-08-14,2028-08-14
C5182,FJBB001,3232,2025-08-14,2028-08-14
C5182/3,FJBB001,2160,2025-09-10,2028-09-10
C5182,FJBB001,265,2025-09-04,2028-09-04
C5182,FJBB001,265,2025-09-04,2028-09-04
C5182,FJBB001,2431,2025-09-11,2028-09-11
C5177,FJBB001,288,2025-10-22,2028-10-22
C5182,FJBB001,480,2025-11-03,2028-11-03
C5240,FJBB002,1450,2025-11-17,2028-11-17
C5105,FJBF001,5042,2025-04-17,2028-04-17
C5105,FJBF001,350,2025-06-05,2028-06-05
C5172,FJBF001,2170,2025-07-21,2028-07-21
C5172,FJBF001,2677,2025-07-22,2028-07-22
C5172,FJBF001,1680,2025-08-12,2028-08-12
C5172,FJBF001,420,2025-09-29,2028-09-29
C5222,FJBF001,576,2025-10-16,2028-10-16
C5222,FJBF001,910,2025-10-17,2028-10-17
C5222,FJBF001,1661,2025-10-20,2028-10-20
C5022,FJCB001,270,2025-06-04,2028-06-04
C5026,FJCB002,960,2025-05-13,2028-05-13
C5026,FJCB002,180,2025-05-14,2028-05-14
C5022,FJCB002,594,2025-06-04,2028-06-04
C5020,FJCB002,420,2025-07-02,2028-07-02
C5020,FJCB002,780,2025-07-03,2028-07-03
C5179,FJCB002,2088,2025-08-04,2028-08-04
C5016,FJCB002,840,2025-08-07,2028-08-07
C5179,FJCB002,180,2025-10-28,2028-10-28
C5179,FJCB002,140,2025-11-18,2028-11-18
C5179,FJCB002,40,2025-11-19,2028-11-19
C5245,FJCB002,849,2025-11-20,2028-11-20
C5244,FJCB002,853,2025-11-21,2028-11-21
C5245,FJCB002,910,2025-11-24,2028-11-24
B5035,FJCL001,630,2025-06-04,2028-06-04
B5035,FJCL001,560,2025-07-01,2028-07-01
B5035/,FJCL001,140,2025-08-11,2028-08-11
B5035/,FJCL001,140,2025-08-12,2028-08-12
B5162,FJCL001,2620,2025-08-12,2028-08-12
B5162,FJCL001,140,2025-09-30,2028-09-30
B5162,FJCL001,480,2025-10-01,2028-10-01
B5252,FJCL001,4946,2025-10-10,2028-10-10
B5252,FJCL001,420,2025-10-28,2028-10-28
B5252,FJCL001,630,2025-10-29,2028-10-29
S4222,FJCO001,300,2025-05-12,2028-05-12
S5103,FJCO001,1579,2025-06-13,2028-06-13
S5103,FJCO001,600,2025-07-01,2028-07-01
S5127,FJCO001,4200,2025-07-15,2028-07-15
S5127,FJCO001,1239,2025-07-16,2028-07-16
S5127,FJCO001,600,2025-08-06,2028-08-06
S5127,FJCO001,780,2025-09-03,2028-09-03
S5127,FJCO001,960,2025-10-16,2028-10-16
S4223,FJCO002,360,2025-05-08,2028-05-08
S4223,FJCO002,180,2025-07-01,2028-07-01
S4223,FJCO002,141,2025-10-01,2028-10-01
C4223,FJCO002,120,2025-10-23,2028-10-23
B5068,FJCP001,420,2025-05-14,2028-05-14
B5108,FJCP001,280,2025-07-01,2028-07-01
B5160/68,FJCP001,400,2025-08-28,2028-08-28
B5160,FJCP001,180,2025-09-30,2028-09-30
C5160,FJCP001,420,2025-10-23,2028-10-23
B5160,FJCP001,160,2025-11-06,2028-11-06
C5080,FJCR002,8184,2025-03-21,2028-03-21
C5089,FJCR002,3010,2025-04-03,2028-04-03
C5089,FJCR002,2936,2025-04-09,2028-04-09
C5096,FJCR002,6480,2025-04-14,2028-04-14
C5094,FJCR002,3521,2025-04-18,2028-04-18
C5140,FJCR002,2620,2025-06-05,2028-06-05
C5114,FJCR002,6407,2025-04-30,2028-04-30
C5115,FJCR002,13979,2025-05-02,2028-05-02
C5125,FJCR002,3566,2025-05-14,2028-05-14
C5094,FJCR002,600,2025-05-15,2028-05-15
C5094,FJCR002,2400,2025-05-16,2028-05-16
C5139,FJCR002,2580,2025-06-02,2028-06-02
C5139,FJCR002,5420,2025-06-04,2028-06-04
C5140,FJCR002,5380,2025-06-04,2028-06-04
C5141,FJCR002,7944,2025-06-05,2028-06-05
C5164,FJCR002,480,2025-07-08,2028-07-08
C5164,FJCR002,1520,2025-07-09,2028-07-09
C5165,FJCR002,7543,2025-07-09,2028-07-09
C5167,FJCR002,2880,2025-07-16,2028-07-16
C5167,FJCR002,7980,2025-07-17,2028-07-17
C5168,FJCR002,4340,2025-07-17,2028-07-17
C5167,FJCR002,4153,2025-07-29,2028-07-29
C5196,FJCR002,4500,2025-08-21,2028-08-21
C5165,FJCR002,1440,2025-08-27,2028-08-27
C5206,FJCR002,5760,2025-09-03,2028-09-03
C5206,FJCR002,2240,2025-09-04,2028-09-04
C5207,FJCR002,6140,2025-09-04,2028-09-04
C5207,FJCR002,120,2025-09-30,2028-09-30
C5221,FJCR002,5040,2025-10-15,2028-10-15
C5221,FJCR002,2800,2025-10-16,2028-10-16
C5165,FJCR002,2580,2025-10-17,2028-10-17
C5168,FJCR002,300,2025-10-27,2028-10-27
C5168,FJCR002,420,2025-10-28,2028-10-28
C5165,FJCR002,1260,2025-11-10,2028-11-10
C5165,FJCR002,2280,2025-11-11,2028-11-11
C5248,FJCR002,1914,2025-12-02,2028-12-02
C5091,FJCR003,2993,2025-04-28,2028-04-28
C5134,FJCR003,4200,2025-05-26,2028-05-26
C5041,FJCR003,630,2025-05-26,2028-05-26
C5134,FJCR003,2754,2025-05-27,2028-05-27
C5041,FJCR003,1365,2025-05-27,2028-05-27
C5174,FJCR003,2205,2025-07-29,2028-07-29
C5174,FJCR003,1570,2025-07-29,2028-07-29
C5174,FJCR003,3011,2025-08-04,2028-08-04
C5174,FJCR003,105,2025-09-29,2028-09-29
C5174/34,FJCR003,735,2025-09-30,2028-09-30
C5224,FJCR003,1250,2025-10-21,2028-10-21
