Lot No,prdcode,QTY,DATE
B5126,PDIR005,1659,"Jun 30, 2025 12:00 AM"
S5113,BDFS001,1163,"Jun 30, 2025 12:00 AM"
M5084,ADML000,1002,"Jun 30, 2025 12:00 AM"
H5040,CCHP001,2032,"Jul 1, 2025 12:00 AM"
S5114,RRBM002,2073,"Jul 1, 2025 12:00 AM"
S5115,FJSL001,1935,"Jul 2, 2025 12:00 AM"
E5028,FJWE001,4284,"Jul 3, 2025 12:00 AM"
S5116,FJSL001,1935,"Jul 2, 2025 12:00 AM"
H5042,AORS000,72,"Jul 3, 2025 12:00 AM"
S5117,PDHM002,919,"Jul 3, 2025 12:00 AM"
M5085,RMBL001,1005,"Jul 3, 2025 12:00 AM"
C5164,FJCR002,480,"Jul 8, 2025 12:00 AM"
C5155,KBCR001,2778,"Jul 4, 2025 12:00 AM"
C5155,KBCR001,995,"Jul 7, 2025 12:00 AM"
B5124,BTBC007,2022,"Jul 4, 2025 12:00 AM"
B5129,RPBC001,968,"Jul 4, 2025 12:00 AM"
B5130,RPBC006,969,"Jul 4, 2025 12:00 AM"
B5128,NPBC005,1296,"Jul 4, 2025 12:00 AM"
B5168,ILWS009,10000,"Aug 26, 2025 12:00 AM"
,CCHPB01,895,"Jul 7, 2025 12:00 AM"
C5153,KBCR006,1200,"Jul 16, 2025 12:00 AM"
B5131,RPBC008,972,"Jul 7, 2025 12:00 AM"
B5132,PDBC001,2335,"Jul 7, 2025 12:00 AM"
H5044,AOSP002,630,"Jul 7, 2025 12:00 AM"
H5042,AORS000,616,"Jul 7, 2025 12:00 AM"
B5133,PDIR011,953,"Jul 8, 2025 12:00 AM"
B5134,PDIR012,721,"Jul 8, 2025 12:00 AM"
H5044,AOSP002,1318,"Jul 8, 2025 12:00 AM"
C5166,FJMK008,1001,"Jul 14, 2025 12:00 AM"
E5029,FJAP003,1548,"Jul 11, 2025 12:00 AM"
YA001,FJMK5T1,480,"Jul 18, 2025 12:00 AM"
B5140,ILMT001,3000,"Jul 11, 2025 12:00 AM"
S5119,FJSL001,1950,"Jul 11, 2025 12:00 AM"
C5164,FJCR002,1520,"Jul 9, 2025 12:00 AM"
C5165,FJCR002,7543,"Jul 9, 2025 12:00 AM"
B5136,BTBCM09,3150,"Jul 9, 2025 12:00 AM"
S5123,FJSL002,1950,"Jul 14, 2025 12:00 AM"
E5030,PDHS001,1014,"Jul 16, 2025 12:00 AM"
B5138,ILWS001,1620,"Jul 10, 2025 12:00 AM"
S5120,FJSL001,1950,"Jul 11, 2025 12:00 AM"
S5122,FJSL001,1500,"Jul 11, 2025 12:00 AM"
B5138,ILWS001,1380,"Jul 11, 2025 12:00 AM"
B5140,ILMT001,3000,"Jul 11, 2025 12:00 AM"
B5139,ILWS008,2160,"Jul 11, 2025 12:00 AM"
S5127,FJCO001,4200,"Jul 15, 2025 12:00 AM"
B5139,ILWS008,840,"Jul 14, 2025 12:00 AM"
S5126,FJSL007,999,"Jul 15, 2025 12:00 AM"
S5118,FJPDR01,465,"Jul 14, 2025 12:00 AM"
S5125,FJSL001,1844,"Jul 14, 2025 12:00 AM"
S5124,FJSL002,1650,"Jul 14, 2025 12:00 AM"
H5045,CCATR01,1920,"Jul 14, 2025 12:00 AM"
C5166,FJMK008,2560,"Jul 15, 2025 12:00 AM"
C5131,FJBB001,1050,"Jul 15, 2025 12:00 AM"
C5167,FJCR002,2880,"Jul 16, 2025 12:00 AM"
C5170,FJFC003,3666,"Jul 21, 2025 12:00 AM"
C5153,KBCR006,1695,"Jul 17, 2025 12:00 AM"
B5143,SBMPR02,1066,"Jul 16, 2025 12:00 AM"
B5144,SBMPR03,1080,"Jul 16, 2025 12:00 AM"
S5127,FJCO001,1239,"Jul 16, 2025 12:00 AM"
B5145,SBMPR07,1956,"Jul 17, 2025 12:00 AM"
C5167,FJCR002,7980,"Jul 17, 2025 12:00 AM"
C5168,FJCR002,4340,"Jul 17, 2025 12:00 AM"
C5169,FJCR008,300,"Jul 28, 2025 12:00 AM"
C5156,FJMK005,231,"Jul 18, 2025 12:00 AM"
C5162,FJFC002,5485,"Jul 22, 2025 12:00 AM"
S5128,RRBM001,2066,"Jul 18, 2025 12:00 AM"
S5121,RRBM004,2057,"Jul 18, 2025 12:00 AM"
S5130,RRBM012,2078,"Jul 21, 2025 12:00 AM"
S5129,RRBM006,851,"Jul 21, 2025 12:00 AM"
C5172,FJBF001,2170,"Jul 21, 2025 12:00 AM"
C5163,FJFC002,5569,"Jul 23, 2025 12:00 AM"
B5150,ILMT002,3000,"Jul 23, 2025 12:00 AM"
C5175,FJPGM02,6487,"Jul 24, 2025 12:00 AM"
B5147,BTBO001,1742,"Jul 22, 2025 12:00 AM"
B5141,AJBC002,1320,"Jul 22, 2025 12:00 AM"
B5142,AJBC002,1320,"Jul 22, 2025 12:00 AM"
B5149,AJBC002,355,"Jul 22, 2025 12:00 AM"
C5172,FJBF001,2677,"Jul 22, 2025 12:00 AM"
B5151,ILWS001,3000,"Jul 24, 2025 12:00 AM"
C5156,FJMK005,1848,"Jul 24, 2025 12:00 AM"
C5177,FJBB001,7978,"Jul 25, 2025 12:00 AM"
S5131,FJCW001,3283,"Jul 24, 2025 12:00 AM"
C5174,FJCR003,2205,"Jul 29, 2025 12:00 AM"
S5132,MLDMB01,930,"Jul 24, 2025 12:00 AM"
C5156,FJMK005,2510,"Jul 25, 2025 12:00 AM"
S5131,FJCW001,3283,"Jul 25, 2025 12:00 AM"
B5150,ILMT002,780,"Jul 25, 2025 12:00 AM"
S5134,FJSL004,2100,"Jul 25, 2025 12:00 AM"
C5179,FJCB002,2088,"Aug 4, 2025 12:00 AM"
C5178,FJSM001,685,"Jul 29, 2025 12:00 AM"
S5135,FJSL004,1686,"Jul 28, 2025 12:00 AM"
S5133,MLDMB10,987,"Jul 25, 2025 12:00 AM"
S5132,MLDMB01,81,"Jul 25, 2025 12:00 AM"
C5176,FJCR009,5580,"Jul 29, 2025 12:00 AM"
M5088,AOBL000,670,"Jul 28, 2025 12:00 AM"
M5092,AOBL000,340,"Jul 28, 2025 12:00 AM"
,FJCR008,5911,"Jul 28, 2025 12:00 AM"
C5167,FJCR002,4153,"Jul 29, 2025 12:00 AM"
C5176,FJCRM09,8000,"Jul 28, 2025 12:00 AM"
B5146,AOBC005,1029,"Jul 28, 2025 12:00 AM"
H5049,AOSP000,1711,"Jul 28, 2025 12:00 AM"
B5150,ILMT002,2220,"Jul 29, 2025 12:00 AM"
