Lot No,DATE
B5287,2025.11.10 0:00
B5287,2025.11.11 0:00
B5287,2025.11.11 0:00
B5288,2025.11.10 0:00
B5288,2025.11.18 0:00
B5288,2025.11.18 0:00
B5289,2025.11.11 0:00
B5289,2025.11.19 0:00
B5289,2025.11.19 0:00
B5290,2025.11.11 0:00
B5290,2025.11.19 0:00
B5291,2025.11.12 0:00
B5291,2025.11.13 0:00
B5291,2025.11.13 0:00
B5292,2025.11.13 0:00
B5292,2025.11.17 0:00
B5292,2025.11.17 0:00
B5293,2025.11.13 0:00
B5293,2025.11.17 0:00
B5293,2025.11.17 0:00
B5294,2025.11.14 0:00
B5294,2025.11.17 0:00
B5294,2025.11.17 0:00
B5295,2025.11.14 0:00
B5295,2025.11.18 0:00
B5295,2025.11.18 0:00
B5296,2025.11.17 0:00
B5296,2025.11.19 0:00
B5296,2025.11.19 0:00
B5297,2025.11.19 0:00
B5297,2025.11.21 0:00
B5297,2025.11.21 0:00
B5298,2025.11.19 0:00
B5298,2025.11.21 0:00
B5298,2025.11.21 0:00
B5299,2025.11.20 0:00
B5299,2025.11.21 0:00
B5299,2025.11.21 0:00
B5300,2025.11.24 0:00
B5300,2025.11.25 0:00
B5300,2025.11.25 0:00
B5301,2025.11.24 0:00
B5301,2025.11.26 0:00
B5301,2025.11.26 0:00
B5302,2025.11.27 0:00
B5302,2025.12.2 0:00
B5302,2025.12.2 0:00
B5303,2025.11.26 0:00
B5303,2025.11.27 0:00
B5303,2025.11.27 0:00
B5303,2025.11.27 0:00
B5304,2025.11.26 0:00
B5304,2025.11.27 0:00
B5305,2025.11.27 0:00
B5305,2025.11.28 0:00
B5305,2025.11.28 0:00
B5306,2025.11.28 0:00
B5306,2025.12.16 0:00
B5306,2025.12.16 0:00
B5307,2025.12.1 0:00
B5307,2025.12.4 0:00
B5307,2025.12.4 0:00
B5307,2025.12.4 0:00
B5308,2025.12.1 0:00
B5308,2025.12.8 0:00
B5309,2025.12.2 0:00
B5309,2025.12.4 0:00
B5309,2025.12.4 0:00
B5309,2025.12.4 0:00
B5310,2025.12.2 0:00
B5310,2025.12.5 0:00
B5310,2025.12.11 0:00
B5310,2025.12.5 0:00
B5310,2025.12.5 0:00
B5311,2025.12.2 0:00
B5311,2025.12.10 0:00
B5312,2025.12.2 0:00
B5312,2025.12.10 0:00
