Lot No,prdcode,생산 완료 수량,생산일
C5084,FJFC002,5996,"Mar 31, 2025 12:00 AM"
S5059,FJCW001,3240,"Mar 31, 2025 12:00 AM"
C5086,FJFC004,3096,"Apr 2, 2025 12:00 AM"
C5087,PFJFC0040,3152,"Mar 31, 2025 12:00 AM"
,PFJOF0020,192,"Mar 31, 2025 12:00 AM"
C5092,PFJBB0010,4200,"Apr 15, 2025 12:00 AM"
C5098,BFJCR0060,520,"Apr 11, 2025 12:00 AM"
C5098,PFJCRM060,23500,"Apr 25, 2025 12:00 AM"
C5098,PFJCR0060,2436,"Apr 15, 2025 12:00 AM"
,CCHP001,,
,FJCR005,3140,"Apr 2, 2025 12:00 AM"
C5060,RLBC001,,
E5014,FJLM002,3116,"Apr 2, 2025 12:00 AM"
S5066,FJSL001,1950,"Apr 3, 2025 12:00 AM"
S5063,FJSL001,1950,"Apr 2, 2025 12:00 AM"
C5102,BFJEC0060,250,"Apr 15, 2025 12:00 AM"
S5070,BRRBM0010,470,"Apr 7, 2025 12:00 AM"
S5064,PFJSL0010,1951,"Apr 2, 2025 12:00 AM"
S5065,PFJSL0010,1951,"Apr 2, 2025 12:00 AM"
S5064,FJSL001,1950,"Apr 2, 2025 12:00 AM"
C5091,BFJCR0030,400,"Apr 8, 2025 12:00 AM"
S5065,FJSL001,1950,"Apr 2, 2025 12:00 AM"
S5072,BRRBM0020,470,"Apr 8, 2025 12:00 AM"
C5092,BFJBB0010,320,"Apr 10, 2025 12:00 AM"
C5093,BRMHC0000,700,"May 16, 2025 12:00 AM"
S5073,BRRBM0120,470,"Apr 11, 2025 12:00 AM"
S5070,RRBM001,2049,"Apr 11, 2025 12:00 AM"
S5072,RRBM002,2076,"Apr 11, 2025 12:00 AM"
S5073,RRBM012,2055,"Apr 14, 2025 12:00 AM"
C5115,BFJCR0020,800,"Apr 22, 2025 12:00 AM"
S5074,BFJSL0010,1000,"Apr 17, 2025 12:00 AM"
S5075,BFJSL0010,1000,"Apr 17, 2025 12:00 AM"
,BRMBL0010,,
,BRMBL0020,,
C5078,PFJEC0060,337,"Apr 29, 2025 12:00 AM"
M5061,RMBL004,1017,"May 9, 2025 12:00 AM"
M5062,RMBL006,1018,"May 9, 2025 12:00 AM"
M5059,BRMBL0140,1000,"Apr 30, 2025 12:00 AM"
C5096,PFJCR0020,6481,"Apr 14, 2025 12:00 AM"
E5025,BFJLM0020,80,"Jun 18, 2025 12:00 AM"
E5025,PFJLM0020,6395,"Jun 18, 2025 12:00 AM"
C5111,BFJFC0020,800,"Apr 18, 2025 12:00 AM"
C5112,BFJFC0020,800,"Apr 18, 2025 12:00 AM"
M5046,PRMBL0030,921,"Apr 3, 2025 12:00 AM"
M5046,RMBL003,920,"Apr 3, 2025 12:00 AM"
S5066,PFJSL0010,1951,"Apr 3, 2025 12:00 AM"
C5068,FJSL003,6600,"Apr 3, 2025 12:00 AM"
E5018,BFJAP0010,66,"Apr 21, 2025 12:00 AM"
B5072,BKBOW0040,155,"Apr 22, 2025 12:00 AM"
B5072,PKBOW0040,469,"Apr 29, 2025 12:00 AM"
E5018,PFJAP0010,1123,"Apr 28, 2025 12:00 AM"
C5105,BFJBF0010,1000,"Apr 16, 2025 12:00 AM"
S5076,BFJMT0010,1100,"Apr 21, 2025 12:00 AM"
S5076,PFJMT0010,5274,"Apr 24, 2025 12:00 AM"
S5078,BFJSL0040,1000,"Apr 25, 2025 12:00 AM"
S5077,BFJSL0040,1000,"Apr 24, 2025 12:00 AM"
S5077,FJSL004,1950,"Apr 30, 2025 12:00 AM"
B5070,BKBOW0010,155,"Apr 16, 2025 12:00 AM"
,PKBOW0010,,
C5117,PFJMK0080,5974,"May 2, 2025 12:00 AM"
S5067,PFJSL0010,2020,"Apr 3, 2025 12:00 AM"
S5067,FJSL001,2019,"Apr 3, 2025 12:00 AM"
