lot_number,manufacturing_date
B5259,2025-10-15
B5259,2025-10-27
B5259,2025-10-24
B5259,2025-11-12
B5260,2025-10-16
B5260,2025-10-17
B5260,2025-10-20
B5261,2025-10-16
B5261,2025-10-17
B5262,2025-10-20
B5262,2025-10-22
B5263,2025-10-20
B5263,2025-10-22
B5263,2025-10-23
B5264,2025-10-21
B5264,2025-10-23
B5265,2025-10-21
B5265,2025-10-23
B5266,2025-10-22
B5266,2025-10-23
B5266,2025-10-24
B5266,2025-10-29
B5267,2025-10-22
B5267,2025-10-27
B5268,2025-10-22
B5268,2025-10-24
B5268,2025-10-27
B5269,2025-08-25
B5269,2025-10-22
B5269,2025-10-23
B5269,2025-10-24
B5270,2025-08-25
B5270,2025-08-26
B5270,2025-10-23
B5270,2025-10-28
B5270,2025-10-29
B5271,2025-10-23
B5271,2025-10-27
B5272,2025-10-23
B5272,2025-10-24
B5273,2025-10-23
B5273,2025-10-27
B5274,2025-10-24
B5274,2025-10-29
B5274,2025-11-11
B5275,2025-10-28
B5275,2025-11-06
B5276,2025-10-27
B5277,2025-10-27
B5278,2025-10-30
B5278,2025-10-31
B5278,2025-11-03
B5278,2025-12-11
B5279,2025-10-30
B5279,2025-10-31
B5280,2025-11-03
B5280,2025-11-04
B5280,2025-11-05
B5281,2025-11-03
B5281,2025-11-04
B5282,2025-11-04
B5282,2025-11-06
B5283,2025-11-05
B5283,2025-11-11
B5284,2025-11-05
B5284,2025-11-11
B5285,2025-11-06
B5285,2025-11-11
B5286,2025-11-06
B5286,2025-11-12
B5286,2025-11-11
B5287,2025-11-10
B5287,2025-11-11
B5288,2025-11-10
B5288,2025-11-18
B5289,2025-11-11
B5289,2025-11-19
B5290,2025-11-11
B5291,2025-11-12
B5291,2025-11-13
B5292,2025-11-13
B5292,2025-11-17
B5293,2025-11-13
B5293,2025-11-17
B5294,2025-11-14
B5294,2025-11-17
B5295,2025-11-14
B5295,2025-11-18
B5296,2025-11-17
B5296,2025-11-19
B5297,2025-11-19
B5297,2025-11-21
B5298,2025-11-19
B5298,2025-11-21
B5299,2025-11-20
B5299,2025-11-21
B5300,2025-11-24
B5300,2025-11-25
B5301,2025-11-24
B5301,2025-11-26
B5302,2025-11-27
B5302,2025-12-02
B5303,2025-11-26
B5303,2025-11-27
B5304,2025-11-26
B5304,2025-11-27
B5305,2025-11-27
B5305,2025-11-28
B5306,2025-11-28
B5306,2025-12-16
B5307,2025-12-01
B5307,2025-12-04
B5308,2025-12-01
B5308,2025-12-08
B5309,2025-12-02
B5309,2025-12-04
B5310,2025-12-02
B5310,2025-12-05
B5310,2025-12-11
B5311,2025-12-02
B5311,2025-12-10
B5312,2025-12-02
B5312,2025-12-10
B5313,2025-12-02
B5313,2025-12-11
B5314,2025-12-03
B5314,2025-12-11
B5315,2025-12-03
B5315,2025-12-08
B5316,2025-12-04
B5316,2025-12-09
B5317,2025-12-15
B5317,2025-12-16
B5318,2025-12-15
B5318,2025-12-16
B5318,2025-12-17
B5319,2025-12-24
B5320,2025-12-18
B5321,2025-12-19
